"CM1" "CM2" "CM3" "CM4" "CM5" "CM6" "CM7" "CM8" "CM9" "CM10" "CM11" "CM12" "CM13" "CM14" "CM15" "CM16" "CM17" "CM18" "CM19" "CM20" "CM21" "CM22" "CM23" "CM24" "CM25" "CM26" "CM27" "CM28" "CM29" "CM30" "CM31" "CM32" "CM33" "CM34" "CM35" "CM36" "CM37" "CM38" "CM39" "CM40" "CM41" "CM42" "CM43" "CM44" "CM45" "CM46" "CM47" "CM48" "CM49" "CM50" "CM51" "CM52" "CM53" "CM54" "CM55" "CM56" "CM57" "CM58" "CM59" "CM60" "CM61" "CM62" "CM63" "CM64" "CM65" "CM66" "CM67" "CM68" "CM69" "CM70" "CM71" "CM72"
"Avanquest" 23.144285714 34.571428571 31.284347826 20.404117647 20.277272727 19.58047619 17.9565 18.649130435 20.096190476 14.790909091 14.232727273 11.128947368 12.566363636 12.8115 9.3795238095 8.3752631579 8.96 6.6295 5.8559090909 5.1408695652 3.5525 3.2086956522 2.4645454545 2.6894444444 2.9709090909 2.2755 2.682 2.218 1.856875 1.5121052632 2.3409090909 2.1323529412 2.1989473684 2.1842857143 2.0955 1.9185 1.8495454545 1.5461111111 1.4304761905 1.4085 1.4823809524 1.7071428571 1.5839130435 1.5433333333 1.9618181818 2.3291304348 3.228 3.4533333333 2.980952381 3.4075 3.4965217391 3.0405 2.8619047619 2.9209090909 2.8036363636 2.2990909091 2.4527272727 2.7457142857 2.8163636364 2.957826087 5.0595238095 6.004 7.3947619048 7.8876190476 7.7877272727 7.6336363636 9.5557142857 9.3769565217 9.8440909091 10.54 11.238636364 13.472857143
"Avenir-F" 39.67952381 49.145238095 79.313043478 60.491666667 52.347727273 46.930952381 46.5675 52.845652174 56.792857143 50.140454545 51.925454545 42.791578947 38.860909091 36.821 28.637058824 26.654210526 31.012727273 21.485 13.492272727 10.914347826 5.362 7.3165217391 7.3568181818 8.0433333333 9.2481818182 8.965 8.913 8.9047619048 7.5945454545 5.7085 5.8 4.9327272727 4.6042857143 4.6517391304 6.8138095238 6.488 6.5795454545 6.086 6.3657142857 6.282 7.1066666667 7.2476190476 6.9360869565 7.1666666667 7.7819047619 7.8747826087 9.939 10.82047619 10.283809524 10.3205 10.253043478 10.5545 11.250952381 11.112727273 10.885454545 11.123181818 12.192727273 12.123333333 13.181363636 13.840434783 15.998095238 17.626 18.359047619 18.659047619 18.750454545 18.502727273 18.29 18.622608696 21.16 20.882380952 19.853636364 19.633333333
"Aventis" 23.447619048 28.698571429 46.074782609 30.261111111 29.063181818 23.806666667 16.412 14.590869565 13.501904762 9.7931818182 8.3413636364 5.8505555556 5.9709090909 6.5125 4.9281818182 4.4642105263 4.4922727273 2.9765 2.2772727273 2.0356521739 1.186 1.3826086957 1.8245454545 2.0988235294 1.7168181818 1.267 1.2905 1.1633333333 1.0186363636 0.78 0.5234782609 0.4490909091 0.4314285714 0.3730434783 0.7195238095 1.1535 1.0095454545 0.9785 0.8933333333 1.025 1.2261904762 1.2147619048 1.15 1.1752380952 1.1927272727 1.2256521739 1.2705 1.2261904762 1.3319047619 1.5865 1.5282608696 1.4645 1.429047619 1.3963636364 1.2890909091 1.1745454545 1.3768181818 1.5004761905 1.8136363636 2.2186956522 2.7504761905 3.1825 2.8085714286 2.7066666667 2.5704545455 2.7527272727 2.6523809524 2.9252173913 3.1431818182 2.9776190476 2.9631818182 2.9395238095
"Axa" 19.923333333 19.228095238 19.429130435 18.741666667 19.196818182 17.915714286 17.6855 17.757826087 18.537142857 20.277727273 21.23 20.725263158 21.075454545 21.301 19.826363636 19.319473684 20.65 21.21 20.720909091 20.765217391 16.3035 13.502173913 14.521363636 14.765 15.200909091 15.57 16.315 16.47047619 16.367727273 15.713 14.67173913 14.759545455 13.716190476 12.616086957 12.816190476 12.939 13.336818182 11.439 10.315238095 11.89 12.368571429 13.758095238 16.192173913 16.736666667 17.51 18.246956522 20.4795 22.086190476 21.485238095 23.911 25.690434783 26.795 26.624285714 27.313636364 27.359545455 29.233181818 29.187272727 28.893333333 30.271818182 30.145217391 31.952857143 35.5275 38.10047619 35.958571429 35.729090909 34.467272727 34.347142857 35.36826087 34.328181818 35.595238095 34.135 36.903333333
"Gemalto" 32.425714286 32.625238095 33.504347826 39.202222222 37.846363636 40.655238095 40.1015 42.002608696 39.748571429 37.671363636 40.237727273 37.807368421 36.766363636 34.758 31.753181818 31.528947368 34.368636364 33.1425 32.935 32.896521739 23.0195 23.016521739 25.831818182 23.906666667 22.954545455 20.8765 24.247 24.562380952 22.682272727 18.9965 14.571304348 13.593636364 12.061428571 12.359565217 14.638095238 14.067 12.793181818 11.334 11.247142857 12.7455 12.909047619 13.742857143 14.346956522 15.516190476 16.236363636 15.559130435 16.212 16.591428571 18.375238095 18.435 17.554782609 18.1385 16.84952381 17.412272727 17.141363636 16.455 16.888636364 16.875238095 17.69 18.103478261 18.289047619 19.215 20.674761905 19.987619048 19.683636364 20.336818182 21.63047619 22.319565217 22.161818182 22.838571429 25.086363636 26.940952381
"Bail-Inv" 58.50952381 55.971428571 54.086956522 59.219444444 66.236363636 73.34047619 67.7025 69.939130435 72.661904762 71.652272727 73.609090909 71.818421053 79.540909091 80.9875 84.372727273 85.376315789 85.9975 107.285 107.16818182 96.022727273 84.4875 83.667391304 84.764285714 83.888888889 86.378571429 97.0375 111.98 117.74285714 124.17727273 117.13 101.00652174 77.190909091 81.688095238 80.37173913 91.002380952 87.1775 83.490909091 69.47 57.850952381 71.4275 74.866666667 83.15952381 75.884782609 75.123809524 71.634090909 66.532608696 71.2675 63.914285714 67.557142857 74.125 68.182608696 63.9025 62.526190476 61.304545455 54.786363636 50.855 54.745454545 58.233333333 60.540909091 57.55 64.195238095 70.1725 70.723809524 71.316666667 67.877272727 70.161363636 72.361904762 75.247826087 82.070454545 76.214285714 70.604545455 72.335714286
"Bains-Mer" 13.206666667 13.362857143 14.023478261 16.584444444 16.770909091 16.535714286 15.0305 15.683478261 15.501904762 15.355454545 15.355909091 15.187368421 15.233181818 16.505 16.916818182 17.151578947 17.070909091 15.4155 15.130909091 15.370869565 14.6 14.954347826 16.073636364 15.831111111 16.014545455 16.205 16.4535 17.466190476 17.552727273 16.7925 16.972173913 16.735 16.705714286 16.413043478 16.7705 17.407 17.991818182 18.1835 17.876190476 19.001 19.466666667 17.947142857 19.06826087 19.337619048 19.740454545 20.390869565 22.7025 23.916190476 24.987619048 24.7705 26.060869565 27.033 25.549047619 25.309090909 26.855909091 27.042727273 28.065909091 28.544285714 28.549090909 30.82625 31.058571429 32.8185 34.726190476 34.52952381 34.062272727 34.751363636 35.413809524 39.139130435 39.104545455 38.39952381 39.285 42.903333333
"B-Tarneaud" 156.695 150.04444444 151.22727273 157.84285714 147.10769231 148.31666667 149.61875 163.04285714 170.72352941 171.955 180.64444444 180.68888889 182.24736842 182.18461538 181.30526316 175.45454545 172.13333333 175.88823529 177.04166667 177.71764706 168.42631579 155.83684211 149.50769231 143.1625 161.9625 163.86153846 162.6 166.91875 172.47222222 174.75263158 164.67777778 159.76923077 157.2 150.9 147.63125 160.47894737 160.1625 157.56875 148.55294118 146.24375 149.56470588 156.54285714 157.82105263 171.9375 173.875 178.065 177.02857143 177.44375 179.1875 182.31875 195.41363636 228.09 262.97142857 252.57619048 271.68571429 286.93636364 292.18095238 394.78095238 412.77272727 399.08695652 426.90952381 419.595 433.44285714 603.73809524 502.89090909 477.05454545 538.61904762 583.69565217 585.18181818 534.04761905 520.81818182 529.64285714
"Barbara" 79.511904762 79.366666667 79.234782609 79.011764706 80.093181818 81.45 86.775 93.854347826 99.397619048 97.1 95.047727273 96.639473684 93.943181818 91.84 97.461363636 99.834210526 99.538095238 97.2925 95.709090909 92.493478261 78.0575 72.443478261 78.765909091 80.563888889 84.578571429 87.255 94.5 105.29047619 98.238636364 102.7 100.64565217 102.75909091 104.29047619 102.3 100.86190476 102.36315789 106.35 109.62631579 116.77142857 117.95 113.25 116.145 120.12727273 132.77368421 144.40526316 146.33636364 138.58 135.635 138.7952381 148.505 148.17826087 149.36 140.35 141.11818182 142.05 140.0047619 132.40909091 135.45714286 130.86666667 130.26190476 134.795 142.47894737 141.23333333 140.52 136.65454545 136.13636364 135.95238095 141.99 145.96666667 147.14761905 149.94761905 147.27619048
"Bayer" 12.374285714 11.862857143 13.257826087 15.845294118 13.887727273 14.424285714 14.289 14.521304348 14.57 13.945454545 14.840454545 16.197368421 18.773636364 21.933 22.533181818 20.048333333 23.478181818 22.4635 20.634545455 18.828695652 14.2785 16.86 16.854545455 17.31 19.613181818 19.171 19.6185 19.903809524 19.262272727 17.6195 15.729130435 13.198636364 11.721428571 9.3426086957 12.354761905 13.58 11.827727273 10.301 8.7266666667 9.7055 9.7747619048 11.909047619 12.267826087 12.872857143 13.793181818 15.094347826 16.6495 15.933809524 15.825714286 16.2335 17.705652174 18.35 17.818095238 18.423636364 18.205 18.143181818 18.680454545 17.350952381 16.480909091 16.08173913 17.516190476 18.783 20.33047619 21.98047619 22.497727273 22.742727273 24.591904762 25.194347826 26.906818182 27.410952381 27.460909091 28.506190476
"Bayer-Hyp" 44.315238095 42.527619048 43.357826087 44.356111111 43.217619048 40.76047619 42.874 45.996956522 44.099047619 45.204090909 49.808636364 52.763157895 52.336363636 52.3925 50.588181818 47.653684211 46.899090909 45.913 44.575454545 38 31.5895 33.923478261 35.509545455 35.382777778 36.886363636 35.1845 38.5545 39.024761905 35.930909091 32.39 29.47173913 24.021363636 20.884285714 19.027391304 21.485714286 21.7175 19.456363636 15.2175 12.347142857 15.179 17.07952381 19.253809524 19.797391304 19.680952381 19.883181818 19.084782609 21.7405 22.588095238 24.315714286 23.2735 21.529130435 21.51 21.921428571 23.110454545 22.316818182 20.994545455 21.280454545 22.307619048 23.568636364 24.523043478 24.304285714 25.6005 25.960952381 25.605238095 26.325 27.984545455 28.234761905 29.300434783 29.812727273 29.30047619 31.465454545 34.508571429
"Belier" 3061.4261905 2828.54 2787.5575 2889.34 2849.9442857 2901.5257143 3005.4355 3134.4585714 3032.554 3038.01 3111.0490909 3010.8416667 2988.345 2994.8705 2843.6059091 2851.6336842 2800.8277273 2843.7135 2911.5045455 2892.1873913 2612.9365 2643.9895652 2659.88 2632.8744444 2721.9045455 2747.5565 2736.8315 2807.9838095 2804.7559091 2564.1505 2325.076087 2220.0259091 2082.812381 1938.1865217 2036.34 2002.5475 1955.7013636 1780.1725 1640.712381 1823.6935 1908.1914286 1960.91 1967.993913 2061.4195238 2094.0095455 2117.8491304 2174.6895 2192.6352381 2345.0809524 2436.73 2412.9708696 2471.5905 2408.382 2451.8827273 2447.9845455 2491.6027273 2637.6672727 2749.2885 2848.0327273 2916.9095652 2979.17 3075.92 3106.0309524 3120.3738095 3057.9968182 3094.1766667 3159.6204762 3257.2021739 3274.1409091 3298.0195238 3361.2677273 3484.996
"Belvedere" 9.5252380952 9.844 11.845652174 12.067222222 12.114545455 11.68952381 11.101 11.926521739 11.725238095 12.411363636 13.126363636 12.733157895 12.873636364 15.8195 15.7 16.45 16.231818182 16.0875 15.945454545 16.027391304 13.912 14.912608696 15.187272727 15.216666667 15.566363636 15.053 16.0955 17.871904762 17.958181818 17.011 16.601304348 15.804545455 14.755238095 11.720434783 10.5 12.471578947 11.350909091 12.0205 10.923809524 11.905 12.488095238 12.707142857 12.98 12.9975 12.855 15.210454545 17.069 16.9445 16.833809524 17.0895 17.993043478 19.127 18.578095238 18.221363636 17.836818182 17.082272727 17.377727273 17.687619048 16.941363636 17.71173913 18.68047619 19.09 18.996190476 17.081428571 16.590454545 16.447272727 14.534285714 14.812173913 15.875909091 14.587619048 12.565 10.678095238
"Beneteau" 80.985714286 66.997619048 68.169565217 59.494444444 62.759090909 61.573809524 65.5725 60.854347826 56.095238095 25.428095238 14.384545455 13.79 15.131363636 14.5905 12.052272727 11.531052632 15.809090909 19.4565 23.718636364 26.252608696 20.071 17.397391304 20.597272727 21.382777778 24.092727273 22.7955 22.564 24.556190476 24.116818182 24.1725 26.709130435 27.360909091 28.212380952 28.593478261 30.182380952 43.177222222 49.843181818 51.065 52.785714286 54.285 55.669047619 56.302380952 59.534782609 59.361904762 58.481818182 64.058695652 79.3675 77.383333333 80.221428571 84.175 84.082608696 79.935 75.630952381 72.781818182 75.972727273 75.320454545 84.934090909 92.126190476 87.813636364 83.519565217 90.65 91.39 104.1 101.48333333 112.12727273 108.32727273 101.14761905 102.49130435 111.61666667 128.69047619 129.53636364 131.52631579
"B-Loiseau" 34.525238095 44.22952381 50.49826087 51.163888889 53.072727273 49.452380952 45.033 46.982608696 52.55952381 54.422727273 64.634090909 65.894736842 64.393181818 65.0025 54.830454545 53.085789474 57.872727273 59.1225 50.557727273 44.883043478 31.459 27.999565217 36.592272727 43.653333333 43.118181818 46.5225 49.8875 56.088095238 54.554545455 47.8985 44.681304348 43.955 39.792380952 37.515217391 43.749047619 45.761 40.08 26.693 24.252857143 28.9945 34.110952381 35.104761905 33.440434783 35.915238095 41.746363636 42.736521739 45.128 45.074285714 47.12952381 52.8075 52.580434783 51.52 48.385238095 51.427727273 52.070454545 52.959090909 53.481818182 58.9 58.165909091 61.689130435 63.821428571 66.5175 66.70952381 63.697619048 61.697727273 60.013636364 64.29047619 66.932608696 68.85 66.69047619 61.809090909 57.895238095
"Bic" 6.4776190476 6.3614285714 6.8747826087 6.6227777778 6.6518181818 6.2757142857 6.4265 6.3556521739 6.5447619048 6.2113636364 6.2309090909 6.7884210526 6.4023809524 6.117 6.2222727273 6.1177777778 6.0781818182 6.2265 6.0768181818 6.1434782609 6.2021052632 5.9665217391 5.9477272727 6.0938888889 6.2690909091 6.1326315789 6.4635 6.353 6.4572727273 6.3185 6.1572727273 5.9189473684 6.0219047619 5.9543478261 6.0147619048 5.3905882353 5.5490909091 5.2953333333 3.9144444444 3.533 3.6142857143 3.7723809524 4.5340909091 4.2776190476 4.7090909091 4.7273913043 4.308 4.03 3.979047619 4.4935 5.6117391304 5.4595 5.3466666667 5.3609090909 5.4331818182 5.0831818182 4.9163636364 4.6866666667 5.0281818182 5.0973913043 5.1942857143 5.142 4.9142857143 4.6747619048 4.73 4.9013636364 4.8233333333 4.8934782609 4.6463636364 4.5133333333 4.2440909091 4.2757142857
"Bigben-I" 45.961904762 44.139047619 43.395652174 42.615555556 47.471363636 49.294285714 52.5725 56.591304348 49.916666667 41.974090909 40.767727273 40.812105263 39.988636364 43.9415 44.640909091 42.817368421 43.322272727 42.295 42.99 44.037391304 40.537 35.127391304 34.958636364 36.685 39.038181818 37.962 38.277 41.608095238 42.674545455 41.2325 37.381304348 35.82 36.521428571 32.952173913 29.982380952 32.901 31.252727273 29.425 28.85952381 30.112 31.984285714 33.301428571 34.551304348 34.977619048 36.267272727 34.920869565 37.344 36.488095238 36.928571429 34.737 34.272608696 35.238 35.591428571 36.160454545 36.155454545 35.224090909 36.043636364 37.083809524 36.75 36.595217391 38.700952381 42.418 42.513333333 42.916666667 42.563181818 47.037727273 48.165238095 48.227391304 48.414545455 48.658095238 49.092727273 50.200952381
"Bioalliance" 28.9255 35.159444444 48.868181818 39.342222222 36.2305 33.1925 32.4075 36.623913043 41.087619048 38.120909091 37.982272727 32.080526316 29.515 29.723 25.737727273 26.823125 27.191818182 27.18 25.132272727 28.212173913 24.048 26.535652174 36.454090909 42.496666667 45.603636364 49.495 49.189 51.783333333 45.236818182 38.049 37.422608696 33.512727273 31.794285714 23.312608696 26.57047619 18.953 13.353181818 11.035 9.3776190476 9.959 11.401904762 11.072380952 9.5547826087 9.6452380952 10.023181818 13.026521739 16.0355 13.375238095 10.752857143 9.951 9.1482608696 8.185 6.4214285714 4.19 3.5736363636 3.1581818182 3.5104545455 3.0323809524 3.1286363636 3.2173913043 3.2257142857 3.6135 3.300952381 2.7758823529 3.0131818182 3.6722727273 3.289047619 3.3939130435 3.2581818182 2.7728571429 2.6390909091 2.6421052632
"Bnp-Pari" 5.9885714286 5.756 5.6769565217 5.6166666667 5.7631818182 5.451 5.9042105263 6.1939130435 6.4857142857 6.5113636364 5.8710526316 5.8805263158 5.445 5.008 4.945 4.74 4.7327272727 4.73 4.7672727273 5.0436363636 3.6894736842 3.427826087 3.4981818182 3.8305555556 5.0161904762 8.2729411765 10.115 8.9233333333 8.7280952381 6.909 6.1291304348 4.957 5.5123809524 4.7604347826 5.5838095238 5.8726315789 6.4131818182 6.2488888889 5.5204761905 5.204 5.1545 4.8852380952 5.1318181818 5.3666666667 5.9595238095 7.3 8.847 10.039473684 13.11047619 14.8185 17.193181818 19.002 19.331428571 19.688636364 19.557272727 16.970454545 18.065454545 17.845238095 17.765909091 16.692272727 15.802857143 14.7175 16 14.857619048 15.547142857 16.635454545 16.498571429 16.659130435 16.138636364 14.188095238 14.146363636 14.247142857
"Boiron" 42.298095238 40.1 42.520869565 44.314444444 46.735454545 49.490952381 51.985 53.719565217 51.168095238 47.813636364 48.235 46.228421053 48.627272727 47.2345 45.081363636 48.231578947 50.381818182 50.81 49.701363636 50.386956522 45.3075 46.044347826 48.792272727 49.467777778 52.354545455 52.8075 55.4625 56.945238095 59.925 55.71 47.73173913 48.451363636 41.266190476 35.622173913 41.649047619 38.83 38.899545455 38.042 37.456190476 40.5065 41.987619048 44.905714286 45.509130435 47.43 45.274090909 44.87 46.0295 48.653333333 50.814285714 50.9325 49.453043478 51.6725 49.755238095 51.229545455 48.265454545 49.498181818 51.763636364 53.161904762 53.663636364 53.206521739 54.816666667 55.255 55.135714286 53.738095238 53.845454545 56.202272727 58.888095238 59.795652174 60.379545455 63.023809524 66.611363636 67.911904762
"Boizel-Ch" 14.40047619 13.686190476 13.170869565 13.811111111 13.951818182 14.576190476 14.604 15.593478261 15.715714286 17.526363636 17.957272727 17.15 18.153636364 20.4855 20.364090909 20.414210526 20.421818182 20.22 21.099545455 20.262608696 18.923 19.228695652 18.206363636 17.262777778 18.613636364 18.987 19.7365 20.29 20.837727273 20.0055 19.474782609 20.226818182 19.403809524 18.94826087 18.818571429 19.85 20.663181818 19.405 17.121428571 17.634 18.693333333 19.042857143 19.973478261 20.198571429 19.147272727 17.775652174 17.9985 18.237619048 18.77047619 19.669 19.59 18.9895 18.883809524 18.905714286 21.429545455 21.104545455 21.541818182 20.554761905 20.835909091 23.178695652 23.784285714 23.402 24.0515 23.188095238 21.861818182 22.901363636 23.991428571 23.333913043 21.505454545 21.197619048 22.105454545 22.022380952
"Bollore" 82.121428571 68.485714286 69.35 66.858333333 65.584090909 61.176190476 56.665 53.454347826 52.685714286 50.2 46.565 46.932105263 47.569090909 46.6675 45.977272727 45.704736842 50.211818182 50.6325 50.95 50.897826087 50.4945 45.790434783 47.07 45.584444444 44.008181818 43.2385 41.725 40.796190476 41.518636364 40.986 39.187826087 38.792727273 37.677142857 32.76173913 30.926190476 29.986 30.869090909 28.969411765 27.378947368 27.2525 26.785 26.374 25.824782609 28.26 29.677727273 29.762608696 30.435 32.332380952 33.185238095 32.5025 37.468695652 42.908 45.084285714 44.315909091 44.74375 44.194705882 45.634285714 47.19952381 49.617272727 48.317826087 53.423809524 63.7375 64.411111111 63.265789474 64.025 63.66 64.534210526 68.179545455 70.075 73.054761905 71.652272727 72.981578947
"Bollore-2" 192.6047619 193.05714286 179.69130435 170.38888889 172.06818182 179.03333333 181.28 183.82608696 185.04761905 184.57272727 199.67272727 208.64736842 203.11363636 196.45 192.48181818 225.85789474 228.43181818 250.17 256.45 255.95217391 248.785 240.33478261 239 243.02222222 247.15454545 240.155 243.96 255.52380952 253.59545455 248.71 238.43043478 240.24545455 237.82857143 242.73913043 249.08095238 248.205 244.36363636 234.37 237.47142857 243.93 248.58095238 247.31904762 245.64347826 245.245 250.44090909 247.16086957 249.095 249.71904762 251.57142857 250.39 248.77826087 248.35 250.48571429 254.17272727 255.40909091 256.81818182 266.13636364 297.98095238 308.39545455 313.74347826 343.00952381 396.59 396.57619048 398.4047619 397.66818182 398.79090909 397.92857143 409.69565217 414.59090909 421.28095238 413.29545455 411.21428571
"Bonduelle" 40.466666667 39.123333333 35.257826087 33.478333333 34.637727273 36.377619048 39.2845 37.421304348 38.675714286 37.775454545 38.683636364 41.050526316 41.233636364 46.8265 46.819545455 52.020526316 54.331818182 54.765 52.743181818 52.82826087 48.2925 51.683478261 51.356818182 50.05 52.606818182 52.34 52.715 52.85 51.047727273 46.812 44.404347826 44.457272727 41.607619048 41.180434783 45.240952381 45.244 41.549090909 40.428 42.135714286 46.437 45.250952381 43.904285714 42.894782609 41.593809524 41.189545455 41.126521739 42.434 45.564761905 48.104761905 47.5355 47.454782609 50.0325 52.102380952 53.931818182 54.215909091 53.818181818 56.536363636 62.471428571 62.909090909 60.47826087 63.188095238 71.1675 73.421428571 73.766666667 70.704545455 80.118181818 85.211904762 94.913043478 108.47272727 120.89047619 111.28181818 107.55714286
